"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
1,2000,"AL",4447100,9.5,7,6.8,15.2,,7.1,13.1,9.1,8.2,8.1,25319135,7830016,7768307,61709,7242004,851603,2783320,68047,13686,3525348,1453627,304238,278428,198869,451585,220507,"D","R","D",0.472,12.6
2,2000,"AK",626932,6.9,8.2,5.3,,11.4,,9.2,6.6,7,,8627637,1785294,1760904,24390,1109390,160201,75496,33361,30349,809983,651731,185293,79120,253239,78817,55262,"D","D","R",0.417,8.2
3,2000,"AZ",5130632,6.8,6.3,6.3,16.5,8.7,4.7,8.2,6.7,6.3,8.2,27293135,7987082,7870687,116395,4426608,923391,450879,94496,12346,2945496,1838375,353512,469012,357594,389410,268847,"D","R","S",0.454,10.1
4,2000,"AR",2673400,8.2,4.2,7.5,12.2,,5.2,10.5,7.8,7.4,9.3,12245158,4241493,4197707,43786,3017207,316228,654059,43700,3756,1999464,741914,127699,136811,208661,146786,121957,"D","R","D",0.46,13.1
5,2000,"CA",33871648,5.4,5.1,4.7,11.6,8.5,4.4,7.2,5.2,5,7.1,236644591,64377205,63559018,818187,47672130,8896217,9158683,379615,23425,29214190,17276969,4546635,3095069,3522907,3742660,2369698,"D","D","D",0.466,9.7
6,2000,"CO",4301261,6.1,6.1,5.7,12.7,9.6,6.4,10.5,6.4,4.6,4,26173055,8035054,7903563,131491,4110403,472937,867948,38260,0,2731258,1857239,377258,732475,228872,408080,110554,"D","R","S",0.45,8.4
7,2000,"CT",3405565,6.5,7.5,4.7,13.3,,3,11.6,6.6,5,5.6,24011246,6832950,6722251,110699,4806615,450221,1145790,94585,0,3116019,1473768,480577,230515,101256,271769,389651,"D","R","D",0.48,5.9
8,2000,"DE",783600,9.6,8.2,6.8,16.3,,6.2,13.2,8.6,8.6,10.5,5153049,1735717,1715010,20707,839130,215588,62968,12289,340,547945,348280,78764,68117,77883,93544,29972,"D","D","S",0.434,7.6
9,2000,"FL",15982378,6.9,5,5.6,12.8,4.2,4.9,11.4,6.8,6,8.8,84300913,23142769,22826044,316725,16841612,3137136,4170079,5660,22507,9506230,7902387,934281,1477579,2397948,1562577,1530002,"D","R","R",0.467,9
10,2000,"GA",8186453,8.5,5.1,6,13.5,7.7,6.1,12.6,8,7,11.3,43516518,14865675,14767624,98051,9279037,1059809,2494273,148513,8739,5567703,3000773,601971,540083,515508,865242,477969,"D","D","D",0.461,11.1
11,2000,"HI",1211537,8.1,6.6,6.4,9.8,,7.4,10.1,6.9,6.1,12.4,8253845,1856006,1853891,2115,1684832,408479,192039,43207,1259,1039848,825537,266278,216846,84428,124434,133551,"D","D","D",0.438,7.1
12,2000,"ID",1293953,7.6,8.1,6.6,,10.4,5.9,9.8,6.7,6,5.7,6404069,2155980,2132007,23973,1335260,139240,373138,32760,0,790122,490140,25266,91089,168956,128980,75849,"D","R","R",0.421,9.3
13,2000,"IL",12419293,8.5,6.9,6.1,16.4,10.5,6.7,12,8.2,7,9.2,74727137,23184693,22728087,456606,13478457,2424891,1956580,230584,13630,8852772,5442488,1482599,1964693,481629,1104956,408611,"D","R","S",0.462,9.1
14,2000,"IN",6080485,7.8,6.8,7,14.5,,4.5,10.6,7.4,7.1,11.1,31249891,11671694,11449565,222129,6992748,572475,2031205,123328,1399,4264341,2088263,477872,555591,286222,558256,210322,"D","D","S",0.432,9
15,2000,"IA",2926324,6.4,6.6,5.5,15.8,,5.3,9.5,5.5,5.4,9.2,17274861,6057908,5964320,93588,4024375,373966,1304188,87606,0,2258615,1018260,132197,245740,262331,249630,128362,"D","D","R",0.424,7.3
16,2000,"KS",2688418,6.6,6.3,6.7,14.1,5.9,5.4,11.2,6.6,6,12.4,14419195,4950361,4884359,66002,2304613,408358,525924,14368,2436,1353527,793810,113363,189494,232650,146589,111714,"D","R","R",0.441,8.6
17,2000,"KY",4041769,7.1,4.6,6.5,10.5,,5.9,9.9,6.5,5.8,6.9,21473123,6426294,6374348,51946,5243264,544112,553180,49501,0,4096471,1210509,143046,237060,284892,348392,197119,"D","D","S",0.46,13.1
18,2000,"LA",4468976,9,5.3,6.5,13.7,9.8,6.1,12.2,9.1,8.2,7.8,25018335,7279602,7185411,94191,6529799,552240,2822725,69713,13892,3071229,1701916,302311,394713,476170,298142,230580,"D","R","D",0.475,14.4
19,2000,"ME",1274923,4.8,11.3,5.3,18.4,,,7.4,5.4,4.5,7.3,7652232,2254532,2227990,26542,2011618,293482,103942,28401,200,1585593,520389,112635,55233,138646,118526,95349,"D","I","S",0.428,8.7
20,2000,"MD",5296486,7.5,6.1,5.1,13.6,,4.7,10.6,8.4,6.8,10.2,30598125,10248335,10055102,193233,5345005,933863,360644,39714,1491,4009293,2767581,632444,681391,462970,560286,430490,"D","D","D",0.433,5.3
21,2000,"MA",6349097,4.6,5.5,4.1,11.1,12.1,3.7,8.3,5.2,4.2,6.1,44361795,11673129,11444917,228212,8630665,1566025,679197,72932,3390,6309121,3009028,1210473,294942,228512,924442,350659,"D","R","D",0.461,7
22,2000,"MI",9938444,8.2,6.5,5.9,16.7,7.5,5.5,12.4,7.9,6.9,8.6,61505543,22779388,22483732,295656,12614337,2502924,1676070,193445,0,8241898,3719619,275245,739843,600157,1694105,410269,"D","R","R",0.444,9.6
23,2000,"MN",4919479,5.6,6.8,5,11.4,10.9,7.6,9.7,5.6,4.9,8.5,35423651,10432704,10283052,149652,7916099,715323,1110804,114995,4812,5970165,2724364,591414,713824,539719,621783,257624,"D","I","S",0.43,6.5
24,2000,"MS",2844658,10.6,6.7,6.9,14.6,17.8,,12.9,10,9.2,16.4,15378511,4861953,4818178,43775,4508869,298498,1815109,51905,22939,2320418,768345,133980,139353,251452,125892,117668,"D","D","D",0.471,16.8
25,2000,"MO",5595211,7.2,5.7,5.9,16,5.3,4.1,11.2,7.2,6,9.1,27953327,9342893,9224225,118668,6303139,790330,1376403,53599,41616,4041191,1580022,300692,431684,291430,412447,143769,"D","D","S",0.449,10
26,2000,"MT",902195,6,7.8,5.9,,11.8,,10.2,6.2,5.8,10.5,4983156,1656997,1640564,16433,908060,246150,96618,9307,750,555235,390236,62331,49747,183878,45179,49101,"D","R","R",0.426,8.6
27,2000,"NE",1711263,7.2,7.6,6.1,13.2,17.1,7,9.7,6.8,6,8,10831429,3299510,3266696,32814,1978865,121811,399480,30366,1960,1425248,677892,112051,126315,257773,117166,64587,"D","R","R",0.43,7.8
